α1,p1,q1,c1_1,c2_1,diff
0.8975,1.9981495369083948,1.7560648768984877,1.4999984756467404,1.524353975032319e-6,1.4999969512927653
0.8976,1.9981595252274922,1.7560602586695735,1.4999984839479117,1.5160529387881285e-6,1.499996967894973
0.8977,1.9981694684631024,1.7560556365532312,1.4999984922088614,1.5077901672259272e-6,1.4999969844186942
0.8978,1.99817936676444,1.7560510105051432,1.4999985004335168,1.4995655131219032e-6,1.4999970008680037
0.8979,1.9981892203020333,1.7560463804779736,1.4999985086203385,1.4913788296538703e-6,1.499997017241509
0.898,1.9981990292393044,1.756041746425291,1.499998516769456,1.4832299704989845e-6,1.4999970335394857
0.8981,1.9982087937396777,1.7560371083005886,1.4999985248808871,1.4751187898075624e-6,1.4999970497620974
0.8982,1.9982185139665753,1.756032466057282,1.4999985329545364,1.4670451422017316e-6,1.4999970659093942
0.8983,1.9982281900834216,1.7560278196487094,1.4999985409901921,1.4590088827740504e-6,1.4999970819813093
0.8984,1.9982378222465333,1.7560231690291146,1.4999985489893193,1.4510098671099068e-6,1.4999970979794521
0.8985,1.9982474106193346,1.7560185141516804,1.4999985569514807,1.4430479512382924e-6,1.4999971139035295
0.8986,1.9982569553652478,1.7560138549695132,1.4999985648761285,1.4351229916545882e-6,1.499997129753137
0.8987,1.9982664566405908,1.7560091914366216,1.4999985727643879,1.427234845342558e-6,1.4999971455295424
0.8988,1.9982759146016824,1.756004523506935,1.4999985806172689,1.4193833697491768e-6,1.4999971612338991
0.8989,1.9982853294190503,1.755999851132342,1.499998588432103,1.4115684227370823e-6,1.4999971768636802
0.899,1.9982947012490127,1.7559951742666136,1.4999985962096782,1.4037898626763925e-6,1.4999971924198157
0.8991,1.998304030240782,1.7559904928644228,1.4999986039524549,1.396047548419264e-6,1.4999972079049064
0.8992,1.9983133165577809,1.7559858068783991,1.4999986116592128,1.388341339229817e-6,1.4999972233178736
0.8993,1.9983225603634338,1.755981116261092,1.4999986193286206,1.380671094829243e-6,1.4999972386575258
0.8994,1.9983317618069516,1.7559764209669335,1.4999986269628054,1.3730366754394182e-6,1.49999725392613
0.8995,1.9983409210446537,1.7559717209492907,1.4999986345619978,1.3654379417133226e-6,1.4999972691240562
0.8996,1.9983500382399617,1.7559670161604701,1.4999986421245344,1.357874754734385e-6,1.4999972842497797
0.8997,1.9983591135349843,1.7559623065556385,1.4999986496539937,1.3503469761041185e-6,1.4999972993070176
0.8998,1.9983681471073549,1.755957592084976,1.499998657144921,1.3428544677633111e-6,1.4999973142904532
0.8999,1.9983771390920744,1.7559528727044649,1.4999986646024597,1.335397092234011e-6,1.4999973292053674
0.9,1.9983860896525667,1.7559481483660813,1.499998672024506,1.3279747123973919e-6,1.4999973440497936
0.9001,1.9983949989380445,1.7559434190236787,1.4999986794124118,1.320587191624503e-6,1.4999973588252202
0.9002,1.998403867104825,1.7559386846300482,1.4999986867656379,1.3132343937093394e-6,1.4999973735312442
0.9003,1.9984126943092266,1.755933945137894,1.499998694083535,1.3059161828895264e-6,1.499997388167352
0.9004,1.9984214807004617,1.755929200500817,1.4999987013671288,1.298632423866288e-6,1.499997402734705
0.9005,1.998430226427743,1.7559244506723362,1.4999987086173363,1.2913829817814618e-6,1.4999974172343544
0.9006,1.9984389316544928,1.7559196956039185,1.4999987158313972,1.284167722174232e-6,1.499997431663675
0.9007,1.9984475965157134,1.755914935250873,1.4999987230135783,1.2769865111063627e-6,1.499997446027067
0.9008,1.9984562211748285,1.7559101695644967,1.4999987301609032,1.2698392149924298e-6,1.4999974603216883
0.9009,1.99846480578105,1.7559053984979625,1.4999987372738546,1.262725700724868e-6,1.499997474548154
0.901,1.9984733504764849,1.7559006220053375,1.4999987443545912,1.2556458356509616e-6,1.4999974887087555
